State_Pair,State1,State2,Total_Passengers
Pennsylvania-Vermont,Pennsylvania,Vermont,26390
North Carolina-Vermont,North Carolina,Vermont,26350
Nebraska-Utah,Nebraska,Utah,26230
Kentucky-Oregon,Kentucky,Oregon,26130
Indiana-Tennessee,Indiana,Tennessee,25710
Iowa-Pennsylvania,Iowa,Pennsylvania,25580
Nebraska-Pennsylvania,Nebraska,Pennsylvania,25520
Oklahoma-Oregon,Oklahoma,Oregon,25440
Kentucky-Tennessee,Kentucky,Tennessee,25120
District of Columbia-Maryland,District of Columbia,Maryland,24970
Alabama-Ohio,Alabama,Ohio,24680
Maine-Virginia,Maine,Virginia,24640
New Hampshire-Texas,New Hampshire,Texas,24490
Nebraska-New Jersey,Nebraska,New Jersey,24290
New Mexico-Pennsylvania,New Mexico,Pennsylvania,24250
Michigan-New Hampshire,Michigan,New Hampshire,24240
Arkansas-Pennsylvania,Arkansas,Pennsylvania,24200
Iowa-Washington,Iowa,Washington,24100
Massachusetts-New Mexico,Massachusetts,New Mexico,23900
New Mexico-North Carolina,New Mexico,North Carolina,23820
Minnesota-New Mexico,Minnesota,New Mexico,23300
Alaska-Massachusetts,Alaska,Massachusetts,23100
Alaska-Missouri,Alaska,Missouri,23090
Arkansas-District of Columbia,Arkansas,District of Columbia,23040
Alabama-Washington,Alabama,Washington,23030
Connecticut-Washington,Connecticut,Washington,22840
South Carolina-Wisconsin,South Carolina,Wisconsin,22780
Alaska-Michigan,Alaska,Michigan,22730
Massachusetts-Oklahoma,Massachusetts,Oklahoma,22390
New Mexico-Virginia,New Mexico,Virginia,22040
Nebraska-Tennessee,Nebraska,Tennessee,21990
Alaska-Montana,Alaska,Montana,21660
District of Columbia-Mississippi,District of Columbia,Mississippi,21570
Arizona-Rhode Island,Arizona,Rhode Island,21460
Arkansas-Michigan,Arkansas,Michigan,21370
Alabama-Massachusetts,Alabama,Massachusetts,21100
Alabama-New Jersey,Alabama,New Jersey,21010
Georgia-Idaho,Georgia,Idaho,20920
Massachusetts-Montana,Massachusetts,Montana,20770
New Mexico-Tennessee,New Mexico,Tennessee,20540
Nebraska-Ohio,Nebraska,Ohio,20360
Connecticut-Kentucky,Connecticut,Kentucky,20330
Illinois-Mississippi,Illinois,Mississippi,20180
Idaho-New York,Idaho,New York,19430
Arkansas-Washington,Arkansas,Washington,19100
Alaska-Pennsylvania,Alaska,Pennsylvania,19030
Nebraska-Virginia,Nebraska,Virginia,18960
Alaska-Idaho,Alaska,Idaho,18890
Missouri-Montana,Missouri,Montana,18880
Nevada-Rhode Island,Nevada,Rhode Island,18760
Rhode Island-Tennessee,Rhode Island,Tennessee,18700
Iowa-New Jersey,Iowa,New Jersey,18690
Texas-West Virginia,Texas,West Virginia,18610
Georgia-South Dakota,Georgia,South Dakota,18570
South Carolina-Utah,South Carolina,Utah,18340
Arkansas-New Jersey,Arkansas,New Jersey,18020
Iowa-Tennessee,Iowa,Tennessee,17880
Vermont-Virginia,Vermont,Virginia,17870
Iowa-Ohio,Iowa,Ohio,17770
Idaho-Missouri,Idaho,Missouri,17700
Oregon-South Carolina,Oregon,South Carolina,17600
