"State_Pair","State1","State2","Country1","Country2","Total_Passengers","Number_of_Routes"
"Coahuila-Nuevo León","Coahuila","Nuevo León","Mexico","Mexico",6735,8
"Ontario-Yucatán","Ontario","Yucatán","Canada","Mexico",6063,2
"Baja California Sur-Nuevo León","Baja California Sur","Nuevo León","Mexico","Mexico",5858,2
"Colima-Texas","Colima","Texas","Mexico","United States",5471,2
"Coahuila-Guanajuato","Coahuila","Guanajuato","Mexico","Mexico",5424,7
"Guerrero-Manitoba","Guerrero","Manitoba","Mexico","Canada",5401,4
"Nevada-State of Mexico","Nevada","State of Mexico","United States","Mexico",5401,2
"Manitoba-Oaxaca","Manitoba","Oaxaca","Canada","Mexico",5156,4
"Colima-Ontario","Colima","Ontario","Mexico","Canada",5025,2
"Illinois-Oaxaca","Illinois","Oaxaca","United States","Mexico",4876,2
"British Columbia-Colima","British Columbia","Colima","Canada","Mexico",4368,2
"British Columbia-Guerrero","British Columbia","Guerrero","Canada","Mexico",4345,2
"Colima-Minnesota","Colima","Minnesota","Mexico","United States",4018,2
