"State_Pair","State1","State2","Country1","Country2","Total_Passengers"
"California-North Carolina","California","North Carolina","United States","United States",852140
"Arizona-Colorado","Arizona","Colorado","United States","United States",848090
"Pennsylvania-Texas","Pennsylvania","Texas","United States","United States",826890
"Nevada-Washington","Nevada","Washington","United States","United States",795830
"Tennessee-Texas","Tennessee","Texas","United States","United States",795130
"Georgia-North Carolina","Georgia","North Carolina","United States","United States",793480
"Massachusetts-New York","Massachusetts","New York","United States","United States",789720
"Florida-Nevada","Florida","Nevada","United States","United States",782000
"Georgia-Pennsylvania","Georgia","Pennsylvania","United States","United States",743320
"Illinois-Massachusetts","Illinois","Massachusetts","United States","United States",739190
"Texas-Washington","Texas","Washington","United States","United States",732270
"Illinois-Minnesota","Illinois","Minnesota","United States","United States",723570
"Nevada-New York","Nevada","New York","United States","United States",689560
"Massachusetts-Texas","Massachusetts","Texas","United States","United States",687770
"California-Michigan","California","Michigan","United States","United States",681630
"California-Maryland","California","Maryland","United States","United States",676840
"Colorado-Nevada","Colorado","Nevada","United States","United States",675940
"District of Columbia-Texas","District of Columbia","Texas","United States","United States",667960
"Illinois-Ohio","Illinois","Ohio","United States","United States",660470
"Alaska-Washington","Alaska","Washington","United States","United States",657990
"Arizona-Washington","Arizona","Washington","United States","United States",657040
"Florida-Minnesota","Florida","Minnesota","United States","United States",655670
"New Jersey-Texas","New Jersey","Texas","United States","United States",643840
"Illinois-North Carolina","Illinois","North Carolina","United States","United States",636500
"Illinois-Missouri","Illinois","Missouri","United States","United States",630770
"Colorado-New York","Colorado","New York","United States","United States",630180
"California-Tennessee","California","Tennessee","United States","United States",626220
"Georgia-Virginia","Georgia","Virginia","United States","United States",623970
"Connecticut-Florida","Connecticut","Florida","United States","United States",620520
"North Carolina-Pennsylvania","North Carolina","Pennsylvania","United States","United States",613030
"Maryland-Texas","Maryland","Texas","United States","United States",612600
"Oklahoma-Texas","Oklahoma","Texas","United States","United States",609880
"California-Ohio","California","Ohio","United States","United States",608710
"Illinois-Michigan","Illinois","Michigan","United States","United States",608170
"Michigan-Texas","Michigan","Texas","United States","United States",587100
"California-District of Columbia","California","District of Columbia","United States","United States",584230
"Georgia-Ohio","Georgia","Ohio","United States","United States",580650
"Colorado-Washington","Colorado","Washington","United States","United States",557550
"District of Columbia-Illinois","District of Columbia","Illinois","United States","United States",550670
"Illinois-New Jersey","Illinois","New Jersey","United States","United States",546230
"Texas-Virginia","Texas","Virginia","United States","United States",530140
"Michigan-New York","Michigan","New York","United States","United States",529320
"Illinois-Washington","Illinois","Washington","United States","United States",517740
"Oregon-Washington","Oregon","Washington","United States","United States",509260
